scorer,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110
bodyparts,Snout,Snout,Snout,Left_ear,Left_ear,Left_ear,Right_ear,Right_ear,Right_ear,Spine_1,Spine_1,Spine_1,Spine_2,Spine_2,Spine_2,R_leg,R_leg,R_leg,L_leg,L_leg,L_leg,Neck,Neck,Neck,Tailbase,Tailbase,Tailbase,tail_1,tail_1,tail_1,tail_2,tail_2,tail_2,tail_3,tail_3,tail_3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,83.22603,87.89734,0.8424482,64.08604,112.911804,1,94.62715,100.43809,0.8474116,104.14031,134.53752,0.8418015,126.5677,161.633,0.7765726,145.08078,145.17313,0.6182352,96.90458,168.17851,0.7405072,86.33863,112.11961,0.8604754,139.22362,187.26118,0.96296555,166.5353,218.86464,0.81794804,191.38007,251.99605,0.94647235,230.65518,275.4421,0.96049404
1,81.53895,84.69007,0.90022856,62.32781,109.97624,0.9699469,93.8806,97.4802,0.82940906,103.854515,131.48175,0.8851299,125.42303,157.03557,0.81502074,145.01392,139.53836,0.8080324,98.0857,166.99062,0.7593182,85.01596,108.60684,0.85677904,140.50131,182.97057,0.88073105,168.26183,212.68454,0.94883496,194.27838,244.48637,0.9315496,234.27097,265.5592,0.82326996
2,84.29216,80.54996,0.904002,61.27451,105.75685,0.94414866,93.89334,92.958374,0.8150232,101.805405,128.19762,0.8736428,125.601654,152.78938,0.78832364,142.0179,134.40593,0.89910835,98.78765,163.79504,0.8075447,84.27762,104.94117,0.94485176,141.87178,178.07664,0.96691793,170.83014,206.79451,0.88403755,200.30981,236.33412,0.8671762,240.64313,257.433,0.9099876
3,83.925354,77.284355,0.96956265,60.56776,102.135056,0.98328483,93.88503,89.7424,0.8483287,102.211494,125.40733,0.79590213,126.77169,151.46463,0.78802824,141.69925,130.79121,0.90781677,102.35819,162.61676,0.7706568,84.163025,102.07571,0.97084165,144.4617,173.5291,0.89107054,175.96272,202.19298,0.8115505,204.76143,227.8994,0.825644,246.28511,246.54312,0.88048184
4,81.04541,74.678345,0.9061288,60.468864,99.24997,1,93.89002,87.879,0.9242802,102.73074,121.82316,0.7645618,128.08345,148.17401,0.8226774,143.2492,127.31839,0.85338706,103.64148,159.02751,0.7367611,84.02153,99.34452,0.9567176,147.48521,169.2029,0.9391052,176.25224,195.8483,0.8781667,204.34846,222.76598,0.80175203,248.31654,241.50955,0.8512217
5,76.3205,73.669136,0.7677767,60.385193,96.14642,0.9235236,92.31808,82.69219,0.89302343,102.78246,118.05447,0.8458377,128.5575,144.34375,0.8652426,144.74364,123.97065,0.9131276,103.3876,156.21193,0.83586836,83.24717,94.99805,0.9347775,150.14597,164.80135,0.99774796,178.30757,191.47496,0.7729174,207.39651,218.13974,0.8341164,250.60849,237.72252,0.8882148
6,74.78972,72.702614,0.8663081,59.635292,94.35835,0.8950588,92.47332,80.22557,0.85029453,103.44943,114.81892,0.90153575,130.4343,140.62773,0.9083347,145.86035,119.59677,0.9005098,105.70438,152.66766,0.83000106,83.24438,92.49863,0.9089648,151.70535,161.1878,0.91877127,181.61461,187.92203,0.7905709,210.0563,214.4929,0.8375787,252.46121,231.8684,0.857942
7,77.78804,71.1359,0.848721,59.829056,92.38659,0.90160453,94.50113,79.17134,0.86216503,103.61676,112.37174,0.8836813,132.29938,136.53949,0.8512066,145.01364,115.137,0.942766,107.769165,150.61792,0.8492163,83.80281,90.90837,0.9089278,153.78305,156.49509,1,183.79243,182.97862,0.83771926,211.94603,210.79137,0.90221673,254.7478,226.26439,0.8352732
